"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        kill_container:
        When deregister=True, looks for and removes both test and regular containers.
        ","2","test_kill_container_deregister_true_with_both_containers","tests","Wed Jun 25 20:41:45 GMT 2025","passed","Wed Jun 25 20:41:45 GMT 2025","TestKillContainer","test_miner_container","",""
"
        kill_container:
        When deregister=False, only looks for and removes the test container.
        ","2","test_kill_container_deregister_false","tests","Wed Jun 25 20:41:45 GMT 2025","passed","Wed Jun 25 20:41:45 GMT 2025","TestKillContainer","test_miner_container","",""
"
        pause_container:
        Pauses the container when the allocation key is valid.
        ","1","test_pause_container_success","tests","Wed Jun 25 20:41:45 GMT 2025","passed","Wed Jun 25 20:41:45 GMT 2025","TestPauseContainer","test_miner_container","",""
"
        unpause_container:
        Unpauses the container when the allocation key is valid.
        ","1","test_unpause_container_success","tests","Wed Jun 25 20:41:45 GMT 2025","passed","Wed Jun 25 20:41:45 GMT 2025","TestUnpauseContainer","test_miner_container","",""
"
        run_container:
        Should successfully run a new container when all dependencies are met and
        container.status is 'created'. Returns a dict with status True and the encrypted info.
        ","2","test_run_container_success","tests","Wed Jun 25 20:41:45 GMT 2025","passed","Wed Jun 25 20:41:45 GMT 2025","TestRunContainer","test_miner_container","",""
"
        get_docker:
        Initializes the Docker client and lists containers successfully.
        ","0","test_get_docker_success","tests","Wed Jun 25 20:41:45 GMT 2025","passed","Wed Jun 25 20:41:45 GMT 2025","TestGetDocker","test_miner_container","",""
"
        unpause_container:
        Returns False when an exception occurs in get_docker.
        ","1","test_unpause_container_exception","tests","Wed Jun 25 20:41:45 GMT 2025","passed","Wed Jun 25 20:41:45 GMT 2025","TestUnpauseContainer","test_miner_container","",""
"
        unpause_container:
        Returns False when no container with the expected name is found.
        ","0","test_unpause_container_not_found","tests","Wed Jun 25 20:41:45 GMT 2025","passed","Wed Jun 25 20:41:45 GMT 2025","TestUnpauseContainer","test_miner_container","",""
"
        kill_container:
        Removes a test container that is not running.
        ","1","test_kill_container_test_not_running","tests","Wed Jun 25 20:41:45 GMT 2025","passed","Wed Jun 25 20:41:45 GMT 2025","TestKillContainer","test_miner_container","",""
"
        pause_container:
        Returns False when no container with the expected name is found.
        ","0","test_pause_container_not_found","tests","Wed Jun 25 20:41:45 GMT 2025","passed","Wed Jun 25 20:41:45 GMT 2025","TestPauseContainer","test_miner_container","",""
"
        check_container:
        Returns False when the container name does not match the expected value.
        ","0","test_check_container_not_running","tests","Wed Jun 25 20:41:45 GMT 2025","passed","Wed Jun 25 20:41:45 GMT 2025","TestCheckContainer","test_miner_container","",""
"
        unpause_container:
        Returns False if no allocation key is retrieved.
        ","0","test_unpause_container_no_allocation_key","tests","Wed Jun 25 20:41:45 GMT 2025","passed","Wed Jun 25 20:41:45 GMT 2025","TestUnpauseContainer","test_miner_container","",""
